OrderID,OrderDate,Year,Quarter,Month,MonthName,StoreID,City,Country,Region,ProductID,Category,SubCategory,ProductName,Quantity,UnitPrice,UnitCost,DiscountPct,DiscountAmount,Revenue,Cost,Profit,SalesChannel
ORD-2024-04305,2022-01-01,2022,Q1,1,Jan,S05,London,UK,Europe,P026,Sports,Apparel,Compression Leggings,3,65.91,22.83,0.25,49.43,148.3,68.49,79.81,In-Store
ORD-2023-03023,2022-01-01,2022,Q1,1,Jan,S06,Toronto,Canada,North America,P006,Electronics,Tablets,SlateBook Air,1,509.0,287.25,0.0,0.0,509.0,287.25,221.75,In-Store
ORD-2024-03927,2022-01-01,2022,Q1,1,Jan,S05,London,UK,Europe,P016,Furniture,Office,Standing Desk Pro,2,616.39,274.28,0.25,308.19,924.59,548.56,376.03,Online
ORD-2022-01546,2022-01-01,2022,Q1,1,Jan,S04,Houston,USA,South,P010,Clothing,Men's Wear,Casual Polo Pack,6,54.73,23.01,0.2,65.68,262.7,138.06,124.64,Online
ORD-2024-04683,2022-01-01,2022,Q1,1,Jan,S05,London,UK,Europe,P024,Sports,Equipment,Resistance Band Set,3,34.25,12.01,0.0,0.0,102.75,36.03,66.72,In-Store
ORD-2024-04443,2022-01-02,2022,Q1,1,Jan,S08,Paris,France,Europe,P010,Clothing,Men's Wear,Casual Polo Pack,1,56.71,22.42,0.0,0.0,56.71,22.42,34.29,In-Store
ORD-2023-03410,2022-01-02,2022,Q1,1,Jan,S01,New York,USA,Northeast,P026,Sports,Apparel,Compression Leggings,3,67.34,22.46,0.05,10.1,191.92,67.38,124.54,Online
ORD-2024-04148,2022-01-02,2022,Q1,1,Jan,S05,London,UK,Europe,P016,Furniture,Office,Standing Desk Pro,6,615.25,289.56,0.0,0.0,3691.5,1737.36,1954.14,In-Store
ORD-2024-03547,2022-01-03,2022,Q1,1,Jan,S03,Chicago,USA,Midwest,P016,Furniture,Office,Standing Desk Pro,1,610.34,269.56,0.0,0.0,610.34,269.56,340.78,In-Store
ORD-2023-02948,2022-01-03,2022,Q1,1,Jan,S04,Houston,USA,South,P023,Sports,Equipment,Yoga Mat Premium,3,44.84,17.54,0.0,0.0,134.52,52.62,81.9,In-Store
ORD-2024-04521,2022-01-03,2022,Q1,1,Jan,S08,Paris,France,Europe,P021,Food & Beverage,Snacks,Organic Granola Box,5,13.5,4.91,0.1,6.75,60.75,24.55,36.2,Online
ORD-2024-05160,2022-01-03,2022,Q1,1,Jan,S05,London,UK,Europe,P012,Clothing,Women's Wear,Premium Blazer,1,152.06,62.99,0.25,38.02,114.05,62.99,51.06,Online
ORD-2022-00741,2022-01-03,2022,Q1,1,Jan,S07,Sydney,Australia,APAC,P017,Furniture,Living Room,Modular Sofa Set,5,1030.75,432.91,0.1,515.38,4638.38,2164.55,2473.83,Online
ORD-2023-02686,2022-01-03,2022,Q1,1,Jan,S08,Paris,France,Europe,P007,Electronics,Accessories,Wireless Earbuds Pro,4,127.51,44.31,0.1,51.0,459.04,177.24,281.8,Online
ORD-2023-03209,2022-01-03,2022,Q1,1,Jan,S01,New York,USA,Northeast,P006,Electronics,Tablets,SlateBook Air,3,493.29,291.63,0.05,73.99,1405.88,874.89,530.99,In-Store
ORD-2024-04255,2022-01-03,2022,Q1,1,Jan,S05,London,UK,Europe,P003,Electronics,Smartphones,NexPhone X12,4,728.07,371.94,0.0,0.0,2912.28,1487.76,1424.52,Online
